Id,Text,Party
15617630596_10152921403000597,Simple question asked by National Journal - Do you trust the President? SHARE your answer below!,Republican
15617630596_10152825947475597,Our friends and neighbors to the north need our help and support and I know Texans will answer the call! Our thoughts and prayers are with the people affected by the tragic tornado outbreak in Oklahoma!,Republican
366739521606_10151841603416607,Congratulations to Jimeca Lawrence of The Fort Valley State University on being selected as one of 30 student winners of the U.S. Department of Agriculture's 2014 #Agricultural Outlook Forum Student #Diversity Program!,Democrat
9307301412_10152816809751413,This news isn't good news.,Republican
9307301412_10152813337881413,"Caseworker Vita Swarers will be in Madison County tomorrow morning to help constituents who are having trouble with federal agencies. You can find her from 9am - 11am at the Madisonville Health Resource Center at 813 State Street in Madisonville. And if you're in Leon County, come see Vita at the Ward Memorial Library at 207 E. St. Mary in Centerville from 1pm - 3pm.",Republican
9307301412_10152809565801413,"If you're in the Houston County or Trinity County areas and need help with a federal agency, come see Caseworker Vita Swarers tomorrow. She'll be at the Houston County Courthouse at 401 E. Houston Ave in Crockett from 9am to 11am and at the Trinity County Courthouse at 162 W. 1st Street in Groveton from 1pm to 3pm.",Republican
9307301412_10152784195876413,"Earlier today two Palestinian cousins attacked worshippers praying at a synagogue in Jerusalem, killing four innocent people. Three of the victims held dual U.S.-Israeli citizenship. The fourth was a dual British-Israeli citizen. Please join us in condemning these acts of terror, and in praying for the peace of Jerusalem.",Republican
9307301412_10152755015856413,The liberal solution to bad law? More bad laws.,Republican
9307301412_10152717631166413,Remember these promises? #FullRepeal,Republican
9307301412_10152719222711413,"Until we have a firm handle on Ebola in the United States, a travel ban from Sierra Leone, Liberia and Guinea seems the wisest course of action.",Republican
9307301412_10152677133951413,Life is precious.,Republican
9307301412_10152672491851413,Happy #NationalCoffeeDay!,Republican
9307301412_10152637490926413,"If there are no negative consequences for breaking the law, then why would people stop?",Republican
9307301412_10152602163146413,"Thomas Kane, Deputy Assistant Chief Counsel for the IRS, wrote in the declaration, part of a lawsuit filed by Judicial Watch against the IRS, that the Blackberry was ""removed or wiped clean of any sensitive or proprietary information and removed as scrap for disposal in June 2012.""  That date - June 2012 - is significant because by that time, ex-IRS official Lerner had already been summoned before congressional staffers who interviewed her about reports of the IRS' targeting of conservative groups.",Republican
9307301412_10152573931026413,A former U.S. ambassador to the Vatican reminds us of the power of faith. Great article.,Republican
9307301412_10152512603331413,"""Forget about escape velocity. The U.S. economy in 2014 is likely to record another disappointing year of growth..."" This #GrowthGap is costing us millions of jobs and a delta in our GDP that rivals the entire economy of same nations.",Republican
9307301412_10152444714876413,"""If all the taxes the federal government collects were represented as $1.00, the death tax would be one half-penny of that dollar. If the death tax was repealed tomorrow, the federal government would hardly notice the difference."" - This is true, but it would make a HUGE difference to the family-owned farms and businesses who suffer under this terrible tax.",Republican
9307301412_10152440555686413,"It's important to note the difference between those at the VA who are responsible for this mess, and those who work hard to give our veterans the care they need and deserve.",Republican
9307301412_10152325261906413,"The beautiful Grimes County Courthouse in Anderson, Texas.",Republican
9307301412_10152780051727334,"What can Midland, TX, and Yuma, AZ, teach us about US energy policy? Read and consider.",Republican
9307301412_10152779927347334,"""I will sign a universal health care bill into law by the end of my first term as president that will cover every American and cut the cost of a typical family's premium by up to $2,500 a year."" - Barack Obama, June 23, 2007",Republican
9307301412_10152776071622334,"ÛÏYou know, if you have a family where some people are citizens or legally here, and others are not documented, the immigration people will never get that information.Û - President Obama  Why not? If one government agency knows that people are here illegally, why shouldn't they let the INS know?",Republican
9307301412_10152740047622334,Immunity for what? Didn't she say she did nothing wrong?,Republican
9307301412_10152718016422334,Texas continues to lead!,Republican
9307301412_10152164304836413,"Despite the President's comments, healthcare.gov cannot handle the enrollment errors. http://j.mp/1kHgNBn",Republican
9307301412_10152146098636413,"If you come to the Conroe office, you might get the chance to meet Soraya. Please give her a warm welcome!",Republican
9307301412_10152036486876413,"If you're close to Conroe, this is worth going to - a moving presentation of the Christmas story.",Republican
9307301412_10152016152616413,What a wonderful thing to do. I'm so thankful for folks like this and what they do for the community!,Republican
9307301412_10152001357241413,"This week, the House is voting on a package of jobs bills that promote American made energy. We need less red tape and more jobs!",Republican
9307301412_10151928911801413,"""The [500 million lines of code] says right off the bat that something is egregiously wrong,"" said Kennedy. ""I jumped back when I read that figure. It's just so excessive.""",Republican
9307301412_10151864134616413,The President's determination to permanently harm the coal industry is astounding. This hurts real people and destroys jobs.  #WarOnCoal,Republican
9307301412_10151833886676413,"The labor force participation rate dropped to 63.2%, a low not seen since Jimmy Carter was President.",Republican
9307301412_10151772753581413,More unexpected fallout from #Obamacare.,Republican
9307301412_10151752473971413,"So many, many people benefited from the genius and generosity of this great man. He truly will be missed. Please share.",Republican
9307301412_10151689490596413,What actions do you think should be taken if she refuses to testify?,Republican
9307301412_10151686970681413,Don't forget to tune in to Fox Business at 8:30 am CT. Stuart Varney and I will talk about what we expect to hear today from acting #IRS Commissioner Danny Werfel.,Republican
9307301412_10151658543231413,Fact of the Day: The number of jobs added through the first five months of 2013 is lower than the number of jobs added through the first five months of 2012.,Republican
9307301412_10151622633336413,Then why plead the fifth?,Republican
9307301412_10151621606321413,This might hurt a little.... Please share this one. Too funny not to.,Republican
9307301412_10151603241126413,Insightful and thought-provoking article by Peggy Noonan. I hope you'll read it and then share.,Republican
9307301412_10151600181016413,How many of you will be following this today? What do you expect to hear?,Republican
9307301412_10151581770646413,Wow. Please read this. And then please share it.,Republican
9307301412_10151569649071413,"I urge you to continue to pray for the people of West, Texas!",Republican
9307301412_157672527731828,"If we can fix this broken tax code, make it simpler, less complex ÛÓ if we can lower that top rate, close loopholes and make us competitive, we can grow this economy, create jobs and generate revenues to balance the budget.",Republican
9307301412_174857342662122,"From the article - Apparently, the president assumed ÛÓ incorrectly ÛÓ that the janitors on Capitol Hill would get a pay cut. Rather than admit an error, White House aides doubled down on their talking points about overtime being essential to their livelihood, without actually knowing the truth.",Republican
9307301412_204725519652307,"Despite 4 years of trillion dollar deficits, I expect President Obama to pitch many of his same failed policies tonight. What do you expect to hear?",Republican
9307301412_153928931428048,"My weekly podcast, the Monday Morning Memo is online.",Republican
6470828395_10152855665328396,What this administration has never understood is the best economic stimulus is a job.,Republican
6470828395_10152731155373396,"This summer, Congress passed a law making it easier to fire VA officials involved in the horrific care of our nation's veterans. These folks have to be held accountable for their lack of service.   http://hosted.ap.org/dynamic/stories/U/US_VETERANS_HEALTH_CARE?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2014-10-06-22-07-27",Republican
6470828395_10152695557608396,I will continue to fight to keep the internet tax free.   http://thehill.com/policy/finance/domestic-taxes/218576-congress-to-push-internet-sales-tax-after-midterms,Republican
6470828395_10152456361033396,"Today, I introduced the PROTECT Act to prevent the transfer of Guantanamo detainees to the United States. This bill, introduced with Congressman Frank Wolf, provides a long-term solution to the detainee transfer issue.   My bill will prevent Guantanamo detainees, or any other foreign terrorists who take up arms against the United States, from being transferred to American soil.   http://blackburn.house.gov/news/documentsingle.aspx?DocumentID=384259",Republican
6470828395_10152309142348396,The internet has had a revolutionary impact on this nation and on the world.   I'm fighting to keep it free.   https://www.youtube.com/watch?v=zkeAtW6riU4,Republican
6470828395_10152102319943396,Caught again. POTUS and his team can't keep changing the laws and lying about their statements for their convenience.   http://www.washingtonpost.com/blogs/fact-checker/wp/2014/01/03/the-white-houses-claim-that-7-million-enrolled-in-obamacare-was-never-our-target-number/ ,Republican
6470828395_10151954676653396,"I'm an original cosponsor for Congressman Upton's bill. If you like your insurance, you should be able to keep it.   Click ""like"" to join me.   http://news.yahoo.com/lawmakers-push-keep-obamas-health-care-pledge-220513736.html",Republican
6470828395_10151908495158396,Another effect of Obamacare- http://news.investors.com/politics-obamacare/101813-675710-100-school-districts-blame-obamacare-for-cuts-to-work-hours.htm,Republican
6470828395_10151778090813396,"It seems HHS is holding a video contest (with thousand dollar cash prizes) for the best videos that encourage people to enroll in Obamacare. Your tax dollars at work.   I've decided to hold a video contest of my own. The prize? Freedom. Post a video on my facebook or twitter page (@MarshaBlackburn) highlighting the reasons to Delay, Defund, Repeal, and Replace Obamacare.",Republican
6470828395_10151596739578396,LIKE & SHARE if you agree that it's time to build the Keystone XL Pipeline.,Republican
6470828395_10151425630193396,I'll be joining Craig Melvin on MSNBC at 3:10pm ET this afternoon. Hope you'll tune in.,Republican
6470828395_10151367661678396,We cannot afford to have technology that is used in our drones and Navy SEAL delivery systems end up in the hands of the Chinese government. http://blackburn.house.gov/news/documentsingle.aspx?DocumentID=318127,Republican
274687979233940_676221342413933,#TBT @ColbertReport and I after taping my segment on Better Know a District. Good times. Watch the show again here: http://thecolbertreport.cc.com/videos/imczen/better-know-a-district---north-carolina-s-1st---g-k--butterfield,Democrat
274687979233940_10202352070434622,I took to the House floor last night to urge House Republicans to work with Democrats to pass a much-needed extension on Emergency Unemployment Insurance benefits. Watch below.,Democrat
274687979233940_590044257698309,Watch Jansing & Co. on MSNBC at 10:00 a.m. I'll discuss the challenges with the Healthcare.gov website and the related Energy & Commerce Committee hearings.,Democrat
274687979233940_561981183837950,Tune in to the The Rachel Maddow Show tonight at 9pm on MSNBC. WeÛªll be talking about how Governor McCrory and his Republican-controlled legislature have set our state back decades. You donÛªt want to miss this.,Democrat
274687979233940_410808075662382,"In case you missed it, check out my photos from the Inaugural Swearing-in Ceremony.",Democrat
135445766485586_941907675839387,Widespread access to biosimilars can significantly reduce health care costs and increase access to affordable treatments.,Republican
135445766485586_898449916851830,"The Keystone XL pipeline has been delayed for 6 years, far too long for a job creating measure.",Republican
135445766485586_892042647492557,"Today, we bow our heads in solemn remembrance of the victims lost in the terror attacks on this country on September 11, 2001 and in Benghazi on September 11, 2012. We reflect with gratitude on all of the men and women who have bravely fought to defend us from anyone seeking to harm the United States and her citizens, and we pray for all those still fighting.  On this somber day in our nationÛªs history, we stand united as Americans and steadfast in our resolve to ensure that our sacred ideals of freedom, justice and peace continue to shine as a beacon of hope for future generations around the world, despite the many challenges that exist.  May God continue to bless the United States of America!",Republican
135445766485586_730479790315511,Five inches of snow and a federal government closure wonÛªt stop us from working hard for the people of Tampa Bay!,Republican
135445766485586_678790382151119,"We remember September 11, 2001, not only for the tragic events that occurred and the loved ones lost, but also for the strength and unity demonstrated by Americans that day ÛÒ a unique solidarity still found throughout our nation. In the face of great danger, our first responders, service men and women, firefighters, police officers, and everyday Americans answered the call of duty. Thank you to everyone who continues to selflessly serve this country. Your commitment to our freedoms and values remains a symbol of the life and liberty that make this country the land of the free and the home of the brave.",Republican
135445766485586_649361421760682,"If #ObamaCare is so wonderful, why are employers slashing jobs and cutting work weeks to soften the sting? #FairnessForAll",Republican
135445766485586_645872125442945,Undersecretary Hickey explaining how #VA is utilizing technology to better assist #veterans and reduce the backlog.,Republican
135445766485586_518461368198377,"DonÛªt forget: weÛªre holding a job fair at St. Petersburg CollegeÛªs Tarpon Springs Campus tomorrow from 4 to 7 p.m. More than 30 employers will be on site to accept resumes and meet with potential employees. For directions, click on the link below.",Republican
67106719910_10152424833679911,Why are the five Taliban terrorists released from Gitmo no longer considered a high-risk threat?,Republican
67106719910_10151387855894911,"A senior Egyptian official this week called the Holocaust a ""myth.""  These bigoted, hate-filled remarks are an absolute disgrace and just another reason why the U.S. should sever all foreign aid to Egypt",Republican
192357174108435_809529002391246,"Seventy years ago today - D-Day - 160,000 Allied troops landed on a stretch of heavily-defended beaches along the coast of France, beginning the invasion of Europe in World War II.  The largest amphibious invasion in history, it was the beginning of a hard fight across the continent and the first crack in Germany's Fortress Europe. It paved the way for total victory for the Allies and another triumph over evil. Let's all remember those brave souls who lost their lives that day, and in the days that followed, so that we all may remain free to this day.",Republican
192357174108435_804276262916520,"Here's the Standard Speaker's coverage of the homecoming of the Hazleton Area High School marching band, after their appearance in the National Memorial Day Parade in Washington, DC.  So proud of these young people from my hometown.",Republican
192357174108435_793957103948436,Nice editorial in the Times Leader in support of locating the FAA facility at Tobyhanna.  It's got wide support and makes perfect sense. ,Republican
192357174108435_717134664963765,"I was very proud to lead a group of my colleagues in speaking on the floor of the House last night to promote and support H.R. 3685, the Protecting Volunteer Firefighters and Emergency Responders Act.  This legislation is necessary to protect volunteer firefighters from unintended consequences of the Affordable Care Act (ACA).  The bill has more than 80 cosponsors, including members of both parties.  An unexpected and previously undetected problem with the law represents special and urgent circumstances.  This really took me by surprise ÛÒ the fact that the ACA could force volunteer fire companies to provide health insurance to their volunteers or pay a fine.  That would burden them with unbearable costs and possibly cause them to reduce the number of volunteers they have or shut their doors altogether.  Simply put: This is a public safety issue.  IÛªve been concerned that since the Internal Revenue Service (IRS) currently views volunteer firefighters as employees, fire companies and municipalities would be forced to provide health insurance or pay a fine, saddling them with unbearable financial burdens and threatening public safety.  I sent the IRS a letter in November requesting a clarification, but the correspondence has gone unanswered as of today.  Under the Employer Mandate Provision, employers with 50 or more employees must provide health insurance or pay penalties.  This could be problematic for fire companies, particularly in Pennsylvania where 97-percent of stations rely exclusively or mostly on volunteers.  Fire companies could exceed the 50 employee threshold in several different ways: by themselves based on their size, by being part of a larger combined force under several different chiefs, or by being part of a municipality that has 50 or more public employees in total.    Some fire companies may hear about this and immediately think, ÛÏWell, weÛªve only got 25 volunteers so weÛªre safe.  We donÛªt have fifty.Û That may not necessarily be the case.  Some fire companies are considered part of their local government.  That could mean that if you take the number of firefighters ÛÒ paid and unpaid ÛÒ now considered employees by the IRS, and add them to the number of other public employees, you can easily reach fifty, even in a small town.Û",Republican
192357174108435_695893983754749,It was a pleasure to see Commander William DeFrancesco of VFW Post 5010 in Freeland on Veterans Day.,Republican
192357174108435_654400554570759,I was honored to receive the Greater Hazleton Chamber of Commerce's Home Town Heroes Award in recognition of my continuing support and service to the area.  It is an honor to represent the people of Pennsylvania's 11th District.,Republican
192357174108435_643403479003800,Announcing the Disaster Loan Fairness Act of 2013 in Millersburg.,Republican
190867440939405_1014892301870244,Speaker Boehner and House Republicans have been blocking bi-partisan immigration reform for a year now. Republicans and Democrats are frustrated with Republican obstruction while families suffer.,Democrat
190867440939405_988599494499525,The Korean community is a vibrant and important component of our great city. That's why I was honored to welcome Consul General Hyun-myung Kim and Consul Lee Hyeokyeong from the Consulate General of the Republic of Korea to my office today to discuss how we can work together to help Korean immigrants and Korean Americans in Los Angeles.,Democrat
190867440939405_907075659318576,In Case You Missed It: I joined msnbc's Weekends with Alex Witt this morning to share my opinion on the situation in Iraq. Watch below.,Democrat
190867440939405_865568426802633,In Case You Missed It: I joined PoliticsNation with Al Sharpton today to give my thoughts on Paul Ryan's controversial comments on poverty & his upcoming meeting with the Congressional Black Caucus.,Democrat
190867440939405_855261947833281,"Since the awful tragedy in Rwanda 20 years ago, life expectancy has doubled to more than 60 years, economic growth consistently reaches 8% annually, and the number of deaths of children under age 5 has plummeted. As I travel to Rwanda, I hope that we never forget what happened here. However, the future Rwanda is getting brighter each year. ",Democrat
190867440939405_838568574712,"ICYMI: I joined msnbcÛªs Betty Nguyen today to discuss how Democrats are fighting to increase the minimum wage, and when Republicans block this commonsense proposal, I support the President using his authority to help working families. ",Democrat
190867440939405_768132459879564,"Listened to President Obama discussing jobs, the economy, and healthcare reform today. Watch his full remarks here: http://www.c-spanvideo.org/program/PresObamaRe.",Democrat
190867440939405_559121260787785,Looking forward to participating in the debate regarding how the CBC alternative budget is one of many balanced approaches put forward by Democrats to responsibly pay down the deficit without undermining job growth and hurting the middle-class and seniors.  ,Democrat
190867440939405_576266205732858,In caucus listening to VP Joe Biden about the deal to prevent us from going over the fiscal cliff.,Democrat
186436274719648_865872850109317,Great news for Gallatin and #TN06! ,Republican
186436274719648_825353374161265,"Friends- I hope youÛªll take a moment to read and share my Fox News op-ed on the epidemic of human trafficking. This week, Congress will take up five bipartisan measures to help tackle this issue. We have a responsibility to do everything we can to protect the most vulnerable and innocent among usÛÓour childrenÛÓfrom falling victim to these heinous crimes. ",Republican
186436274719648_819600444736558,"As a parent and a former educator, I believe Tennessee students deserve every possible opportunity to succeed. That is why today I voted in support of the #QualityCharters Act which encourages school choice by promoting state efforts to develop and expand charter schools. Read more HERE: http://1.usa.gov/1hCxrPv",Republican
186436274719648_778135398883063,Today I testified before the  U.S. House Judiciary Committee about my bill to DEFUND the ÛÏpublic advocateÛ for illegal immigrants at Immigration & Customs Enforcement. Read a transcript of my remarks here: http://1.usa.gov/1c8fT0U,Republican
186436274719648_758615667501703,"Tomorrow night, President Obama will deliver his annual State of the Union address. My guest for the evening will be Garry Floeter, a small business owner from Cookeville who is being hit with new taxes from Obamacare on the health insurance policies he provides for his employees. My House Republican colleagues and I will also be offering a live fact-check and response effort to the PresidentÛªs remarks at http://SOTU.gop.gov. What do you want to hear President Obama say in his speech tomorrow night?",Republican
186436274719648_736431369720133,"Last night, News Channel 5 reported on my legislation to DEFUND the Obama administrationÛªs illegal alien lobbyist at Immigrations & Customs Enforcement (ICE). At a time when our country is $17 trillion in debt, the last thing we should be doing is using taxpayer dollars to fund an advocate for people who entered this country illegally. Read more about this White House power grab here: http://1.usa.gov/1dmzk1d",Republican
186436274719648_733428816687055,"Every time I have an opportunity to cut Washington spending, IÛªm going to do it. That is why today I voted to pass the ÛÏBipartisan Budget Act of 2013Û ÛÒ legislation that will reduce the deficit by $23 billion, stop Congressional DemocratsÛª proposed tax hikes, and prevent devastating cuts to the military in President ObamaÛªs sequester.  This legislation wasnÛªt perfect, but it was a small step in the right direction. Read my full statement here: http://1.usa.gov/1cEAaIA",Republican
186436274719648_693257954037475,#TBT to a rainy day in fall 2011 greeting veterans from Music City Honor Flight outside the World War II Memorial. What a special day! The House passed legislation to reopen these monuments across the country yesterday. I hope the Senate will follow suit.  http://instagram.com/p/fBnjrgp-O4/,Republican
186436274719648_685324614830809,HAPPENING NOW: The House Foreign Affairs Committee just began its hearing on the State DepartmentÛªs lack of accountability in the aftermath of the #Benghazi terrorist attack. Watch LIVE here:,Republican
186436274719648_684745118222092,"Had a great time attending the ribbon cutting for ServPro's new facility in Gallatin on Saturday. This expansion will create 90 new, full time jobs in Sumner County! #TN06 #latergram  http://instagram.com/p/eXNsYIJ-C5/",Republican
186436274719648_670882602941677,Great turnout today at the Mt. Juliet Chamber of Commerce luncheon! Thanks to everyone for the opportunity to speak and take questions!,Republican
186436274719648_653321811364423,"President Obama has previously described his healthcare law as ""a new set of rules that treats everybody honestly and treats everybody fairly."" But as of a few weeks ago, according to Pres. Obama, if you're a big financial institution or government contractor, you don't have to comply with ObamacareÛªs mandate next year, but if you're a Tennessee family trying to make ends meet, you do - or you get taxed. AND to add insult to injury, the president now has the gall to say that he will veto the House passed the legislation delaying Obamacare's employer mandate and individual mandate. His veto threat is a pathetic excuse for leadership. SHARE & LIKE if you want the Senate to follow the House's lead and call the president's bluff by passing these common sense bills to give ALL Americans much-needed relief from Obamacare. #TrainWreck #FairnessForAll #TBT",Republican
186436274719648_617393451623926,My first Instagram post! IÛªm back in D.C. after a busy district work week. Thanks to everyone who joined me at our town hall meetings and industry tours. Look forward to keeping in touch on here and sharing what I am up to both in Washington and back home!  #TN06  http://instagram.com/p/ZBVVkXp-Fj/,Republican
155220881193244_747063858675607,"ICYMI: Last night U.S. Marine Sgt. Andrew Tahmooressi joined FoxÛªs ""On the Record"" to give his first interview after being released from prison in Mexico after 214 days. America is glad to have him back. #MarineFreed",Republican
155220881193244_669388926443101,"Earlier this week, I talked with Tim Constantine of The Capitol Hill Show about the future of America's space program in light of threatened sanctions by Russia's Deputy Prime Minister. We must expedite construction of an American-made rocket engine and end our reliance on Russia. Listen in here: ",Republican
155220881193244_604340342947960,Merry Christmas and Happy Holidays from my family to yours. Wishing special tidings to those first responders and military personnel working to ensure our safety who are unable to be with their families this holiday season. We are all thankful for your service and dedication.,Republican
155220881193244_459272047454791,"Congrats to my alma mater The University of Alabama on an amazing and well-deserved victory at the 2013 BCS National Championship Game! With four straight national wins in a row, our state has a lot to be proud of.",Republican
135670516492974_787522164641136,"IÛªm honored to be selected by my colleagues to serve on the House Committee on Energy and Commerce for the 114th Congress. With my first-hand experience as a physician; the importance of the Hoosier coal industry to our low-cost energy and economic vitality; IndianaÛªs robust and growing manufacturing sector, and the critical need to improve our broadband capabilities for education, business, industry, and rural development, this appointment offers me a platform to advocate for issues of key importance to our district, state, and country. IÛªm excited to get to work!",Republican
135670516492974_753404208052932,Just spoke on the House floor about our efforts to expand American energy production. I highlighted the importance of Indiana's coal industry and the thousands of jobs and affordable energy it supports.   Watch the video here - https://www.youtube.com/watch?v=79f4_m15FPM&feature=youtu.be. ,Republican
135670516492974_188905254652784,"""Obamacare will push the equivalent of about 2 million workers out of the labor market by 2017 as employees decide either to work fewer hours or drop out altogether, according to the latest estimates Tuesday from the Congressional Budget Office.""",Republican
135670516492974_528014937258528,"ObamaCare is putting us at risk of becoming a nation of part-time employees. I am proud to sign on as an original co-sponsor of the SAW Act, which puts an end to ObamaCareÛªs arbitrary definition of a full-time workweek at 30 hours. This provision is costing employees their hours at work and the wages they rely on to support their family, invest in their community, and save for their future.  We should be focused on doing everything we can to help Americans find meaningful employment, not limit their opportunities.
 
 Read my full statement here - http://bucshon.house.gov/press-release/bucshon-cosponsors-saw-act.",Republican
135670516492974_505656156161073,"I was sad to hear about the passing of Governor ÛÏDocÛ Bowen on Saturday. Although I did not know him personally, his legacy is well known among Hoosiers and his colleagues in healthcare. Doc BowenÛªs contribution to our state and nationÛªs healthcare during his time as a physician, Indiana Governor, and Secretary of Health and Human Services will not be forgotten. His legacy serves as a reminder that medical professionals play a vital role in public policy and I hope more follow his example. Kathryn and I send our thoughts and prayers to his family.",Republican
135670516492974_503740683019287,"Students from Central High School in Evansville stopped by my Washington, DC office during their visit with Close Up. 
 
 Close Up is a great program that informs, inspires, and empowers young people to be active and responsible citizens in a democracy.",Republican
135670516492974_487661044627251,"Despite the PresidentÛªs promises, healthcare premiums are on the rise for young people and middle class families, nearly 7 million Americans will lose their job-based health insurance plans, and care to our nationÛªs seniors is placed in the hands of 15 unelected, unaccountable bureaucrats under the Affordable Care Act.",Republican
135670516492974_146178085547959,I find it hard to believe that the FAA cannot find $600 million in responsible cuts out of a $16 billion budget.,Republican
252633384817156_736284166452073,"A healthy school lunch means healthier students. Today I had lunch at Portland's Bridlemile Elementary, where the Harvest of the Month program provides locally grown fruits and vegetables to schools and supports our local farmers. The brussels sprouts were delicious! School nutrition programs help students stay focused and ready to learn.",Democrat
252633384817156_648050241942133,"Not extending emergency unemployment is hurting real people. As Congress debates, thousands of Oregonians lose this lifeline every month. To tell the story, I am asking constituents who have lost benefits to contact me. When were you laid off? Has your emergency unemployment insurance run out? How has this impacted you? Please submit your stories here: http://bonamici.house.gov/contact-me/email-me. We must make sure your voices are heard!  Thank you. ",Democrat
252633384817156_641067675973723,I had a great discussion at the American Association for the Advancement of Science's annual forum. Panelists discussed how integrating arts with math and science has helped develop innovative new products and ideas. STEM + Arts = STEAM. http://www.aaas.org/,Democrat
252633384817156_517747074972451,The President was right to call for a Congressional debate on the use of military force in Syria. Congress and the American people need to thoroughly consider how intervention in this conflict will affect our national security. I am working to get all of the facts and will continue to discuss this issue with my colleagues and my constituents.,Democrat
252633384817156_508996162514209,"Congratulations to Alexandra Gritta for receiving the Congressional Award Gold Medal. She is the only Oregonian receiving the award this year, and the 11th recipient from Oregon since Congress established the program in 1979.",Democrat
252633384817156_463222350424924,"Congratulations to Maisie, a student at Ladd Acres Elementary in Hillsboro, on being named a state finalist in the nationwide Doodle 4 Google competition.",Democrat
252633384817156_480532785335297,"Today I introduced the SAFE Lending Act to crack down on online payday lenders. Oregon has some of the most aggressive anti-payday lender laws in the country, but online and offshore lenders are using a loophole to get around those laws. This bill will give the Consumer Financial Protection Bureau more authority to regulate these predatory activities.",Democrat
252633384817156_413005538779939,Thanks to Rhode Island School of Design President John Maeda for stopping by our DC office to discuss RISDÛªs STEM to STEAM initiative. IÛªm working to bring the STEM to STEAM (STEM + Arts) discussion to Congress.,Democrat
457461137635018_658977414150055,"I was glad to join Congressman John Yarmuth (KY-3) to introduce a resolution commemorating the 50th anniversary of Congress officially codifying BourbonÛªs status as a distinctive product of the United States of America. As the Lithuanian Ambassador remarked while he toured some of KentuckyÛªs finest distilleries, Bourbon is the ÛÏdrink of freedom.Û  We thank all of the hardworking men and women in the Commonwealth who make this uniquely American spirit such a great product and will continue working to promote Kentucky's signature Bourbon industry.",Republican
457461137635018_10100109152130123,"Don't miss out on important weekly updates and news! Please sign up here for my Sixth District Report, which goes out on Sundays! LIKE and SHARE this post if you are signed up! http://barr.house.gov/ENews",Republican
457461137635018_463187733729025,"I enjoyed meeting with Mrs. Sharon Graves' 8th grade class from Richmond's Clark-Moores Middle School in my Washington, D.C. office this morning.",Republican
460003650715961_506986716017654,Congressman Bridenstine speaking on the importance of our nation's flag at the Medal of Honor Day Ceremony at Veteran's Park.,Republican
517697358277175_781626355217606,My heart goes out to the families of #EyalGiladNaftali. Prayers are with them and the people of Israel.,Republican
581909665168588_781436498549236,"""No one is born hating another person because of the color of his skin, or his background, or his religion. People must learn to hate, and if they can learn to hate, they can be taught to love, for love comes more naturally to the human heart than its opposite."" -Nelson Mandela",Democrat
581909665168588_639911456035075,"I just got off the phone with Region 5 FEMA Administrator Andrew Velasquez, and he urged folks in our region to continue to be patient, to stay safe, and to continue to gather damage information while waiting for the flooding to recede.   For up-to-date flood information, follow FEMA on Facebook at https://www.facebook.com/FEMA",Democrat
